method,path,route_file,callers,auth_type,db_read_models,db_write_models,side_effects,target_operation_id,legacy_status,growdesk_status,test_entry
GET,/.well-known/oauth-authorization-server,app/.well-known/oauth-authorization-server/route.ts,Unlinked/Direct/External,Public / Anonymous,none,none,none,oauthAuthorizationServerMetadata,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/mcp-oauth.test.ts
OPTIONS,/.well-known/oauth-authorization-server,app/.well-known/oauth-authorization-server/route.ts,Unlinked/Direct/External,CORS Preflight (Public),none,none,none,oauthMetadataOptions,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/mcp-oauth.test.ts
GET,/.well-known/oauth-protected-resource/mcp,app/.well-known/oauth-protected-resource/mcp/route.ts,Unlinked/Direct/External,Public / Anonymous,none,none,none,oauthProtectedMcpResourceMetadata,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/mcp-oauth.test.ts
OPTIONS,/.well-known/oauth-protected-resource/mcp,app/.well-known/oauth-protected-resource/mcp/route.ts,Unlinked/Direct/External,CORS Preflight (Public),none,none,none,oauthProtectedMcpOptions,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/mcp-oauth.test.ts
GET,/.well-known/oauth-protected-resource,app/.well-known/oauth-protected-resource/route.ts,Unlinked/Direct/External,Public / Anonymous,none,none,none,oauthProtectedResourceMetadata,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/mcp-oauth.test.ts
OPTIONS,/.well-known/oauth-protected-resource,app/.well-known/oauth-protected-resource/route.ts,Unlinked/Direct/External,CORS Preflight (Public),none,none,none,oauthProtectedResourceOptions,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/mcp-oauth.test.ts
GET,/api/agent/voice/logs/[id],app/api/agent/voice/logs/[id]/route.ts,components/ui/AgentVoiceResultHost.tsx,Cookie Session (getAuthUser),agentVoiceLog,none,none,getVoiceLog,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/personal-tokens-and-voice-logs.test.ts
PATCH,/api/agent/voice/logs/[id],app/api/agent/voice/logs/[id]/route.ts,components/ui/AgentVoiceResultHost.tsx,Cookie Session (getAuthUser),agentVoiceLog,agentVoiceLog,none,updateVoiceLog,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/personal-tokens-and-voice-logs.test.ts
GET,/api/agent/voice/logs,app/api/agent/voice/logs/route.ts,components/ui/AgentVoiceResultHost.tsx,Cookie Session (getAuthUser),agentVoiceLog,none,none,listVoiceLogs,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/personal-tokens-and-voice-logs.test.ts
POST,/api/agent/voice,app/api/agent/voice/route.ts,components/ui/AgentVoiceResultHost.tsx,PAT or Cookie Session,baby;user,agentVoiceLog,none,createVoiceRun,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/voice-fast-path.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/personal-tokens-and-voice-logs.test.ts; tests/api/agent-voice.test.ts
